association_id,column_index,label_id,feature_name,atlas,disease,comparison,reference_id,source_region,source_url,doi,tissue,mapping_status,direction,effect_type,effect_value,uncertainty,measurement,source_location,mapping_limitation,evidence_strength,shared_evidence_group
A00001,13,26,L_Accumbens,FIRST,MCI,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.47,p<.01; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:MCI:case_vs_NC
A00002,14,58,R_Accumbens,FIRST,MCI,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.47,p<.01; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:MCI:case_vs_NC
A00003,152,157,N_Acc_L,AAL3,MCI,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.47,p<.01; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:MCI:case_vs_NC
A00004,153,158,N_Acc_R,AAL3,MCI,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.47,p<.01; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:MCI:case_vs_NC
A00005,13,26,L_Accumbens,FIRST,AD,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.73,p<.001; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:AD:case_vs_NC
A00006,14,58,R_Accumbens,FIRST,AD,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.73,p<.001; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:AD:case_vs_NC
A00007,152,157,N_Acc_L,AAL3,AD,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.73,p<.001; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:AD:case_vs_NC
A00008,153,158,N_Acc_R,AAL3,AD,case_vs_NC,Fjell2010,Accumbens bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.73,p<.001; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Accumbens bilateral average:AD:case_vs_NC
A00009,11,18,L_Amygdala,FIRST,MCI,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.2,p<1e-11; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:MCI:case_vs_NC
A00010,12,54,R_Amygdala,FIRST,MCI,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.2,p<1e-11; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:MCI:case_vs_NC
