atlas,column_index,label_id,feature_name,disease,coverage_status,evidence_consistency,effect_mode,literature_d_median,source_d_values,model_latent_sd_shift,quantitative_sign_conflict,selected_association_ids,modeling_assumption
FIRST,0,10,L_Thalamus,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.7384999999999999,"{""Fjell2010"": -0.86, ""Ledig2018"": -0.617}",-0.480025,False,A00051;A00768,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,0,10,L_Thalamus,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.426556,"{""Fjell2010"": -0.42, ""Ledig2018"": -0.426556, ""MCI2016"": -0.78704}",-0.277261,False,A00049;A00770;A00106,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,1,49,R_Thalamus,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.7384999999999999,"{""Fjell2010"": -0.86, ""Ledig2018"": -0.617}",-0.480025,False,A00052;A00769,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,1,49,R_Thalamus,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.426556,"{""Fjell2010"": -0.42, ""Ledig2018"": -0.426556, ""MCI2016"": -1.100035}",-0.277261,False,A00050;A00771;A00105,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,2,11,L_Caudate,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.02300000000000002,"{""Fjell2010"": -0.35, ""Ledig2018"": 0.396}",0.007475,True,A00021;A00780,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,2,11,L_Caudate,MCI,direct,conflicting_directions,source_median_numeric_volume,-0.19,"{""Fjell2010"": -0.19, ""Ledig2018"": 0.184378, ""MCI2016"": -0.488103}",-0.06175,True,A00017;A00784;A00109,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,3,50,R_Caudate,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.02300000000000002,"{""Fjell2010"": -0.35, ""Ledig2018"": 0.396}",0.007475,True,A00022;A00781,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,3,50,R_Caudate,MCI,direct,conflicting_directions,source_median_numeric_volume,-0.19,"{""Fjell2010"": -0.19, ""Ledig2018"": 0.184378, ""MCI2016"": -0.244964}",-0.06175,True,A00018;A00785;A00107,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,4,12,L_Putamen,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4,"{""Fjell2010"": -0.51, ""Ledig2018"": -0.29}",-0.26,False,A00045;A00788,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,4,12,L_Putamen,MCI,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.25,"{""Fjell2010"": -0.25, ""Ledig2018"": -0.158568, ""MCI2016"": -1.084039}",-0.1625,False,A00041;A00792;A00113,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,5,51,R_Putamen,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4,"{""Fjell2010"": -0.51, ""Ledig2018"": -0.29}",-0.26,False,A00046;A00789,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,5,51,R_Putamen,MCI,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.25,"{""Fjell2010"": -0.25, ""Ledig2018"": -0.158568, ""MCI2016"": -0.904005}",-0.1625,False,A00042;A00793;A00111,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,6,13,L_Pallidum,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.036000000000000004,"{""Fjell2010"": -0.17, ""Ledig2018"": 0.098}",-0.0117,True,A00037;A00796,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,6,13,L_Pallidum,MCI,direct,conflicting_directions,source_median_numeric_volume,0.016215,"{""Fjell2010"": 0.22, ""Ledig2018"": 0.016215, ""MCI2016"": -0.419904}",0.00527,True,A00033;A00800;A00117,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,7,52,R_Pallidum,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.036000000000000004,"{""Fjell2010"": -0.17, ""Ledig2018"": 0.098}",-0.0117,True,A00038;A00797,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,7,52,R_Pallidum,MCI,direct,conflicting_directions,source_median_numeric_volume,0.016215,"{""Fjell2010"": 0.22, ""Ledig2018"": 0.016215, ""MCI2016"": -0.381871}",0.00527,True,A00034;A00801;A00115,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,8,16,BrainStem,AD,direct,conflicting_directions,source_median_numeric_volume,0.012,"{""Ledig2018"": 0.012}",0.0078,False,A00804,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,8,16,BrainStem,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.051929,"{""Ledig2018"": -0.051929}",-0.033754,False,A00805,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
