reference_id,title,doi,url,source_file,measurement,cohort,limitations,access_date
Fjell2010,CSF Biomarkers in Prediction of Cerebral and Clinical Change in Mild Cognitive Impairment and Alzheimer’s Disease,10.1523/JNEUROSCI.3785-09.2010,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,sources/Fjell2010_fulltext.html,FreeSurfer subcortical volume; cortical thickness reported separately,NC105; MCI175; AD90,Bilateral average; age/sex/ICV adjusted volume. Table2 reported D retained without deriving confidence intervals; CT not GMV.,2026-09-08
MCI2016,Multimodal Magnetic Resonance Imaging in Alzheimer’s Disease Patients at Prodromal Stage,10.3233/JAD-150353,https://doi.org/10.3233/JAD-150353,sources/MCI_multimodal2016_fulltext.xml,FSL FIRST SIENAX-normalized structure volume mm3,MCI-due-to-AD14; HC14,"Table2 heading AD means prodromal MCI-due-to-AD, not dementia. Small sample; regional t tests after omnibus analysis.",2026-09-08
Yi2016,Relation between subcortical grey matter atrophy and conversion from mild cognitive impairment to Alzheimer’s disease,10.1136/jnnp-2014-309105,https://pubmed.ncbi.nlm.nih.gov/25904810/,sources/Yi2016_abstract_notes.json,3T FSL FIRST volume,subjective-memory controls181; MCI201; AD391,Abstract-access qualitative corroboration; controls had subjective memory complaints; no regional case-control numeric d recovered.,2026-09-08
Kang2024,"Convergent Neuroimaging and Molecular Signatures in Mild Cognitive Impairment and Alzheimer’s Disease: A Data-Driven Meta-Analysis with N = 3,118",10.1007/s12264-024-01218-x,https://doi.org/10.1007/s12264-024-01218-x,sources/Kang2024_fulltext.xml,CAT12 GMV; Brainnetome246; AAL3 robustness,NC1149; MCI1135; AD834; 23 sites,Broad lobar evidence does not establish every AAL3 ROI. No per-AAL3 exact d from main text; cannot use 235/246 Brainnetome significant count as 166/166 AAL3 proof.,2026-09-08
Wang2015,Voxel-based meta-analysis of grey matter changes in Alzheimer’s disease,10.1186/s40035-015-0027-z,https://doi.org/10.1186/s40035-015-0027-z,sources/Wang2015_VBMmeta_fulltext.xml,coordinate-based VBM GMV meta-analysis,21 studies; 30 comparisons,Cluster labels and SDM statistics are not whole-ROI standardized mean effects; overlapping anatomical subdivisions require mapping.,2026-09-08
MCI2023,Convergent and distinct neural structural and functional patterns of mild cognitive impairment: a multimodal meta-analysis,10.1093/cercor/bhad167,https://academic.oup.com/cercor/article/33/14/8876/7169132,sources/MCI2023_web_table_notes.json,GMV VBM meta-analysis only; separate fMRI arm excluded,"1247 MCI; 1352 HC; 39 studies,43 datasets",Peak SDM and cluster-overlap counts do not equal whole-ROI effect sizes. Small overlap is low-specificity evidence; several clusters show publication bias.,2026-09-08
Frontal2026,"Frontal Lobe and Subregional Volumetric Alterations Across Alzheimer’s Disease, Amnestic Mild Cognitive Impairment, and Vascular Dementia: An MRI Volumetry Study",10.3390/brainsci16030317,https://doi.org/10.3390/brainsci16030317,sources/Frontal2026_fulltext.xml,vol2Brain frontal regional volume as percentage TIV,AD30; aMCI30; HC30; VaD30 excluded here,"Only total frontal effect survives multiplicity correction. Table2 has apparent CI transcription errors for some rows; raw means/SD retained, malformed CIs not used. Bilateral regions not exact AAL3 boundaries.",2026-09-08
Toniolo2018,Patterns of Cerebellar Gray Matter Atrophy Across Alzheimer’s Disease Progression,10.3389/fncel.2018.00430,https://doi.org/10.3389/fncel.2018.00430,sources/Toniolo2018_cerebellum_fulltext.xml,SPM8 SUIT cerebellar GM VBM; 8mm smoothing,AD53; aMCI62; HC34,Cluster FWE p<.05 at voxel p<.001. Paravermal extension not whole-lobule uniform atrophy; peak Z not Cohen d.,2026-09-08
Gellersen2021,Differential vulnerability of the cerebellum in healthy ageing and Alzheimer’s disease,10.1016/j.nicl.2021.102605,https://doi.org/10.1016/j.nicl.2021.102605,sources/Cerebellum2021_meta_fulltext.xml,ALE of cerebellar GM VBM,AD13 experiments; 529 subjects,AD and healthy-aging results separated. AD significant clusters right CrusI/II/VI; lack of other clusters is not absence of association.,2026-09-08
Banerjee2025,Atrophy patterns of deep gray matter nuclei in Alzheimer’s disease and frontotemporal dementia,10.1177/13872877251390386,https://doi.org/10.1177/13872877251390386,sources/Deep_nuclei2025_fulltext.html,sTHOMAS nuclear volume; covariate-adjusted group comparison,NC108; MCI200; AD72,THOMAS MD and pulvinar pools are not AAL3 subnuclei. FTD effects excluded. Shared parent effect is not independent evidence for each child region.,2026-09-08
Young2025,Normative Modeling of Thalamic Nuclear Volumes and Characterization of Lateralized Volume Alterations in Alzheimer’s Disease Versus Schizophrenia,10.1016/j.bpsc.2024.08.006,https://doi.org/10.1016/j.bpsc.2024.08.006,sources/Thalamic_normative2025_fulltext.html,HIPS-THOMAS normative nuclear volume z-score,2374 healthy; EMCI211; LMCI113; AD88,Normative z-shifts are not case-control Cohen d. Nucleus definitions differ from AAL3; MCI stages retained separately.,2026-09-08
Maki2026,Thalamic nuclei volumes across psychiatric and neurological disorders: a multi-site magnetic resonance imaging study,10.1038/s41398-026-04076-5,https://doi.org/10.1038/s41398-026-04076-5,sources/Thalamic2026_fulltext.xml,FreeSurfer25 nuclear volumes; analyses with and without total-thalamus covariate,MCI610/HC718; DEM659/HC622,DEM is not automatically biomarker-confirmed AD. Whole-thalamus-conditioned relative increases are not absolute increases; FreeSurfer/AAL3 label correspondence imperfect.,2026-09-08
Olfactory2025,Alterations in Olfactory Cortex Volume in Mild Cognitive Impairment and Mild Alzheimer’s Disease Dementia: A Study of Sex-Related Differences,10.3390/brainsci15060610,https://doi.org/10.3390/brainsci15060610,sources/Olfactory_cortex2025_fulltext.xml,SPM12 modulated GM; AAL olfactory ROI; left/right mL,HC95; MCI81; probable AD37,"Threshold p<.001: female MCI contrasts p=.002/.003 are nominal, despite prose interpretation; male MCI not significant. Sex strata cannot be pooled without data.",2026-09-08
