source_id,author,year,title,doi,url,design,population,medication,stage,measurement,locator,accessed,primary_source
S01,van Erp et al.,2016,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,10.1038/mp.2015.63,https://pmc.ncbi.nlm.nih.gov/articles/PMC4668237/,15-center random-effects meta-analysis,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,"FreeSurfer subcortical volume adjusted for age, sex and ICV",Table 1; Supplementary Table S1; moderator results,2026-09-08,True
S02,van Erp et al.,2018,Cortical brain abnormalities in 4474 individuals with schizophrenia and 5098 control subjects via the ENIGMA Consortium,10.1016/j.biopsych.2018.04.023,https://pmc.ncbi.nlm.nih.gov/articles/PMC6177304/,39-sample random-effects meta-analysis,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,FreeSurfer Desikan-Killiany cortical thickness and surface area,Results; Supplementary Tables S4/S5; medication Tables S12-S21,2026-09-08,True
S03,Qi et al.,2022,Common and specific patterns of functional and structural brain alterations in schizophrenia and bipolar disorder: a multimodal voxel-based meta-analysis,10.1503/jpn.210111,https://pmc.ncbi.nlm.nih.gov/articles/PMC8812718/,coordinate-based SDM VBM meta-analysis,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,voxel-based GM volume; cluster peak SDM-Z,Table 2 schizophrenia portion; Appendix 1,2026-09-08,True
S04,Li et al.,2023,Cerebellar gray matter volume changes in patients with schizophrenia: A voxel-based meta-analysis,10.3389/fpsyt.2022.1083480,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.1083480/full,25-study cerebellar SDM VBM meta-analysis,996 schizophrenia;1109 controls,5 of 25 studies drug-naive; pooled mixture,mean duration 6.19 years; stage heterogeneous,cerebellar VBM GM volume; cluster SDM-Z,Table 1; Results 3.2-3.4; supplementary tables,2026-09-08,True
S05,Moberget et al.,2018,Cerebellar volume and cerebellocerebral structural covariance in schizophrenia: a multisite mega-analysis of 983 patients and 1349 healthy controls,10.1038/mp.2017.106,https://www.nature.com/articles/mp2017106,14-sample meta/mega-analysis,983 schizophrenia spectrum;1349 controls,mixed; medication status covariate/moderator,age 16-66; cross-sectional,"SUIT native cerebellar GM volumes, functional parcels and VBM",Results; Supplementary Figure 2; Supplementary Table 4,2026-09-08,True
S06,Haijma et al.,2013,Brain Volumes in Schizophrenia: A Meta-Analysis in Over 18 000 Subjects,10.1093/schbul/sbs118,https://pmc.ncbi.nlm.nih.gov/articles/PMC3756785/,volumetric random-effects meta-analysis,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,MRI regional volumes; heterogeneous segmentation; bilateral combined,Table 2 medicated; Table 3 naive; publication-bias and moderator results,2026-09-08,True
S07,Remiszewski et al.,2022,Contrasting Case-Control and Normative Reference Approaches to Capture Clinically Relevant Structural Brain Abnormalities in Patients With First-Episode Psychosis Who Are Antipsychotic Naive,10.1001/jamapsychiatry.2022.3010,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2796910,case-control and normative-reference study,98 first-episode psychosis;92 controls; diagnosis broader than schizophrenia,antipsychotic naive at imaging,first episode,MRI segmented subcortical and brainstem volume,Results case-control raw regional volumes,2026-09-08,True
S08,Mørch-Johnsen et al.,2023,Thalamic nuclei volumes in schizophrenia and bipolar spectrum disorders - Associations with diagnosis and clinical characteristics,10.1016/j.schres.2023.04.008,https://www.sciencedirect.com/science/article/pii/S0920996423001615,case-control regional volumetry,334 SSD;322 bipolar;826 controls; SSD results retained,mixed; medication associations explored,SSD median age 29; stage mixed,Bayesian segmentation of 25 thalamic nuclei from T1 MRI,Abstract and Results SSD; do not transfer BD-specific subdivisions,2026-09-08,True
S09,Thalhammer et al.,2024,Distinct Volume Alterations of Thalamic Nuclei Across the Schizophrenia Spectrum,10.1093/schbul/sbae037,https://pmc.ncbi.nlm.nih.gov/articles/PMC11349018/,multi-stage case-control volumetry,137 controls;66 ARMS;89 FEP;126 established schizophrenia,mixed; clinical covariates separately,ARMS/FEP/established schizophrenia separated,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted,Results; Figure 2; Supplementary Table S3,2026-09-08,True
S10,Lella et al.,2025,Thalamo-cortical structural co-variation networks are related to familial risk for schizophrenia in the context of lower nuclei volume estimates in patients: an ENIGMA study,10.1016/j.biopsych.2025.03.027,https://pmc.ncbi.nlm.nih.gov/articles/PMC13169515/,32-sample ENIGMA meta-analysis,1531 schizophrenia;257 familial high risk;3409 controls,mixed; not medication causal contrast,mixed; familial high risk kept separate,seven thalamic volume subdivisions and separate cortical covariance measures,Abstract; local thalamic alterations; supplementary regional effects,2026-09-08,True
S11,Shibukawa et al.,2024,Alterations in subcortical magnetic susceptibility and disease-specific relationship with brain volume in major depressive disorder and schizophrenia,10.1038/s41398-024-02862-7,https://www.nature.com/articles/s41398-024-02862-7,cross-sectional MRI/QSM study,24 schizophrenia;49 MDD;50 controls,medication recorded; no randomized exposure,mixed clinical sample,QSM-defined atlas VOI volume from T1 and separate susceptibility; bilateral averaged,Table 3; Methods imaging; corrected group tests,2026-09-08,True
