native_name,description,type,unit,valid_codes,hard_min,hard_max,bound_basis,missing_representation,measurement_note,source_url
RIDAGEYR,Age at Screening Adjudicated - Recode,integer,years,,0,85,documented coding/topcode,NaN,85 denotes age 85 or older; endpoint-specific eligibility is supplied separately.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm
RIAGENDR,Gender,categorical,code,1=male;2=female,1,2,documented coding/topcode,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm
DMDHHSIZ,Total number of people in the Household,integer,"persons, topcoded",,1,7,documented coding/topcode,NaN,7 denotes household size 7 or more.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm
BIDFAT,Estimated fat mass (kg),continuous,kg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.htm
BIDFFM,Estimated fat-free mass (kg),continuous,kg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.htm
BIDPFAT,Estimated percent body fat,continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.htm
BIDTBW,Estimated total water body volume (L),continuous,L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.htm
BMXBMI,Body Mass Index (kg/m**2),continuous,kg/m^2,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.htm
BMXHT,Standing Height (cm),continuous,cm,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.htm
BMXWAIST,Waist Circumference (cm),continuous,cm,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.htm
BMXWT,Weight (kg),continuous,kg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.htm
BPXCHR,60 sec HR (30 sec HR * 2),continuous,beats/minute,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.htm
BPXDI1,Diastolic: Blood pres  (1st rdg) mm Hg,continuous,mmHg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.htm
BPXSY1,Systolic: Blood pres  (1st rdg) mm Hg,continuous,mmHg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.htm
LBXSAPSI,Alkaline phosphotase (U/L),continuous,U/L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSATSI,ALT (U/L),continuous,U/L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSASSI,AST (U/L),continuous,U/L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSGTSI,GGT (U/L),continuous,U/L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBDBANO,Basophils number,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXBAPCT,Basophils percent (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBDEONO,Eosinophils number,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
