Field_ID,Category,Detail_Category,Description,Variable_Type,Observed_Min,Observed_P01,Observed_Median,Observed_P99,Observed_Max,Observed_Integer_Only,Observed_Allowed_Values,Unit,Unit_Source,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Missing_Rate,Observed_Decimal_Places_P95,Recommended_Decimal_Places
21022,Basic information,Age at recruitment,Age at recruitment,continuous,39,40,58,69,70,TRUE,,years,schema Prompts,continuous_numeric,39,70,,0,0,0
31,Basic information,Gender,Gender,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema type + known field definition,binary_integer_code,0,1,"[0, 1]",0,0,0
699,Basic information,Household,Length of time at current address,continuous,0,0,16,46,70,TRUE,,years,schema Prompts,continuous_numeric,0,70,,0.0054,0,0
709,Basic information,Household,Number in household,continuous,1,1,2,6,40,TRUE,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 29, 37, 38, 40]",persons,field meaning,bounded_integer_or_count,1,40,,0.0081,0,0
796,Basic information,Employment,Distance between home and job workplace,continuous,0,0,6,110,5000,TRUE,,miles,schema Prompts,continuous_numeric,0,5000,,0.5011,0,0
757,Basic information,Employment,Time employed in main current job,continuous,0,0,10,42,51,TRUE,,years,schema Prompts,continuous_numeric,0,51,,0.4266,0,0
767,Basic information,Employment,Length of working week for main job,continuous,0,5,38,62,160,TRUE,,hours,schema Prompts,continuous_numeric,0,160,,0.4309,0,0
777,Basic information,Employment,Frequency of travelling from home to job workplace,continuous,0,0,5,10,44,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 25, 30, 40, 44]",times/week,schema Prompts,bounded_integer_or_count,0,44,,0.4344,0,0
845,Basic information,Education,Age completed full time education,continuous,5,14,16,25,35,TRUE,,years,schema Prompts,continuous_numeric,5,35,,0.3368,0,0
4079,Physical measures,Blood pressure,"Diastolic blood pressure, automated reading",continuous,47,60.5,81.5,107.5,133,FALSE,,mmHg,schema Prompts,continuous_numeric,47,133,,0.0574,1,1
4080,Physical measures,Blood pressure,"Systolic blood pressure, automated reading",continuous,80,102.125,136.5,188.5,225.5,FALSE,,mmHg,schema Prompts,continuous_numeric,80,225.5,,0.0574,1,1
102,Physical measures,Blood pressure,"Pulse rate, automated reading",continuous,35,47,68.5,100.5,128.5,FALSE,,bpm,schema Prompts,continuous_numeric,35,128.5,,0.0574,1,1
46,Physical measures,Hand grip strength,Hand grip strength (left),continuous,0,8,28,57.71,80,TRUE,,kg,schema Prompts,continuous_numeric,0,80,,0.007,0,0
47,Physical measures,Hand grip strength,Hand grip strength (right),continuous,0,10,30,59,72,TRUE,,kg,schema Prompts,continuous_numeric,0,72,,0.0069,0,0
48,Physical measures,Body size measures,Waist circumference,continuous,56,65,90,125,157,FALSE,,cm,schema Prompts,continuous_numeric,56,157,,0.005,0,0
21002,Physical measures,Body size measures,Weight,continuous,35.4,49.434,76.4,122.832,181.7,FALSE,,kg,schema Prompts,continuous_numeric,35.4,181.7,,0.0065,1,1
21001,Physical measures,Body size measures,Body mass index (BMI),continuous,14.8744,19.138653,26.713,42.0894,58.5937,FALSE,,kg/m^2,schema Prompts,continuous_numeric,14.8744,58.5937,,0.0072,4,4
49,Physical measures,Body size measures,Hip circumference,continuous,72,86,102,133,174,FALSE,,cm,schema Prompts,continuous_numeric,72,174,,0.0049,0,0
50,Physical measures,Body size measures,Standing height,continuous,138,150,168,190,201,FALSE,,cm,schema Prompts,continuous_numeric,138,201,,0.0056,0,0
20015,Physical measures,Body size measures,Sitting height,continuous,63,78,89,100,117,FALSE,,cm,schema Prompts,continuous_numeric,63,117,,0.0129,0,0
23115,Physical measures,Body composition by impedance,Leg fat percentage (left),continuous,6.4,12.6,33.3,51.2,60.8,FALSE,,%,schema Prompts,continuous_numeric,6.4,60.8,,0.0218,1,1
23111,Physical measures,Body composition by impedance,Leg fat percentage (right),continuous,5.6,12,33.4,51.4,59.1,FALSE,,%,schema Prompts,continuous_numeric,5.6,59.1,,0.0218,1,1
23116,Physical measures,Body composition by impedance,Leg fat mass (left),continuous,0.5,1.3,4,9.919,17.1,FALSE,,kg,schema Prompts,continuous_numeric,0.5,17.1,,0.0218,1,1
23112,Physical measures,Body composition by impedance,Leg fat mass (right),continuous,0.4,1.3,4,10.1,16.9,FALSE,,kg,schema Prompts,continuous_numeric,0.4,16.9,,0.0218,1,1
23117,Physical measures,Body composition by impedance,Leg fat-free mass (left),continuous,4.4,5.9,8.5,14.1,21.5,FALSE,,kg,schema Prompts,continuous_numeric,4.4,21.5,,0.0218,1,1
23113,Physical measures,Body composition by impedance,Leg fat-free mass (right),continuous,4.4,5.9,8.6,14.2,21.3,FALSE,,kg,schema Prompts,continuous_numeric,4.4,21.3,,0.0218,1,1
23118,Physical measures,Body composition by impedance,Leg predicted mass (left),continuous,4.2,5.5,8,13.3,20.3,FALSE,,kg,schema Prompts,continuous_numeric,4.2,20.3,,0.0218,1,1
23114,Physical measures,Body composition by impedance,Leg predicted mass (right),continuous,4.1,5.6,8.1,13.5,20.1,FALSE,,kg,schema Prompts,continuous_numeric,4.1,20.1,,0.0218,1,1
23123,Physical measures,Body composition by impedance,Arm fat percentage (left),continuous,3,12.8,29,55.9,68.3,FALSE,,%,schema Prompts,continuous_numeric,3,68.3,,0.0219,1,1
23119,Physical measures,Body composition by impedance,Arm fat percentage (right),continuous,2,12.7,27.8,55.2,69.2,FALSE,,%,schema Prompts,continuous_numeric,2,69.2,,0.0218,1,1
23124,Physical measures,Body composition by impedance,Arm fat mass (left),continuous,0.1,0.4,1.2,3.9,10.4,FALSE,,kg,schema Prompts,continuous_numeric,0.1,10.4,,0.0219,1,1
23120,Physical measures,Body composition by impedance,Arm fat mass (right),continuous,0.1,0.4,1.1,3.6,8.6,FALSE,,kg,schema Prompts,continuous_numeric,0.1,8.6,,0.0218,1,1
23121,Physical measures,Body composition by impedance,Arm fat-free mass (right),continuous,1,1.7,2.6,5,6.8,FALSE,,kg,schema Prompts,continuous_numeric,1,6.8,,0.0219,1,1
23125,Physical measures,Body composition by impedance,Arm fat-free mass (left),continuous,1.3,1.7,2.7,5,6.4,FALSE,,kg,schema Prompts,continuous_numeric,1.3,6.4,,0.0221,1,1
23126,Physical measures,Body composition by impedance,Arm predicted mass (left),continuous,1.2,1.6,2.5,4.7,6,FALSE,,kg,schema Prompts,continuous_numeric,1.2,6,,0.0222,1,1
23122,Physical measures,Body composition by impedance,Arm predicted mass (right),continuous,0.9,1.6,2.5,4.7,6.4,FALSE,,kg,schema Prompts,continuous_numeric,0.9,6.4,,0.0219,1,1
