phenotype,name,icd10_regex
E4_HYPERPARA,Hyperparathyroidism,E21[0-3]
F5_PHOBANX,Phobic anxiety disorders,F40
K11_COELIAC,Coeliac disease,K900
F5_ALCOHOL_DEPENDENCE,Alcohol dependence,F102
I9_ABAORTANEUR,Abdominal aortic aneurysm (AAA),I713|I714
K11_ACUTPANC,Acute pancreatitis,K85
F5_ALZHDEMENT,Dementia in Alzheimer disease,F00
K11_ULCER,Ulcerative colitis,K51
I9_CARDMYO,Cardiomyopathy,I42
C3_NONHODGKIN_EXALLC,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",C8[2-5]
M13_POLYMYALGIA,Polymyalgia rheumatica,M353
C3_MELANOMA_SKIN_EXALLC,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",C43
N14_ENDOMETRIOSIS,Endometriosis,N80
C3_BLADDER_EXALLC,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",C67
M13_FIBROMYALGIA,Fibromyalgia,M797
