disease,Field_ID,description,unit,relationship,baseline_factor_ancestry,shared_risk_factors,risk_factor_coefficients,continuous_score_covariance_with_factor_risk,predictor_use,interpretation
E4_HYPERPARA,21022,Age at recruitment,years,direct,age,age,"{""age"": 0.35}",,demographic conditioning,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,31,Gender,binary code,direct,sex,sex,"{""sex"": -0.18}",,demographic conditioning,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,699,Length of time at current address,years,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,709,Number in household,persons,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,796,Distance between home and job workplace,miles,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,757,Time employed in main current job,years,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,767,Length of working week for main job,hours,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,777,Frequency of travelling from home to job workplace,times/week,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,845,Age completed full time education,years,neutral,education,,{},,Gaussian observation,no active risk path in this model
E4_HYPERPARA,4079,"Diastolic blood pressure, automated reading",mmHg,indirect_shared_factor,adiposity;age;renal;sex;smoking,age;renal;sex,"{""age"": 0.35, ""renal"": 0.25, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,4080,"Systolic blood pressure, automated reading",mmHg,indirect_shared_factor,adiposity;age;renal;sex;smoking,age;renal;sex,"{""age"": 0.35, ""renal"": 0.25, ""sex"": -0.18}",0.29,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,102,"Pulse rate, automated reading",bpm,neutral,activity;anxiety;sleep;smoking,,{},,Gaussian observation,no active risk path in this model
E4_HYPERPARA,46,Hand grip strength (left),kg,indirect_shared_factor,activity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,47,Hand grip strength (right),kg,indirect_shared_factor,activity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,48,Waist circumference,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,21002,Weight,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,21001,Body mass index (BMI),kg/m^2,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",0.041999999999999996,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,49,Hip circumference,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,50,Standing height,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,20015,Sitting height,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23115,Leg fat percentage (left),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23111,Leg fat percentage (right),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23116,Leg fat mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23112,Leg fat mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23117,Leg fat-free mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23113,Leg fat-free mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23118,Leg predicted mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23114,Leg predicted mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23123,Arm fat percentage (left),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23119,Arm fat percentage (right),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23124,Arm fat mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23120,Arm fat mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23121,Arm fat-free mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23125,Arm fat-free mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23126,Arm predicted mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23122,Arm predicted mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23127,Trunk fat percentage,%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23128,Trunk fat mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23129,Trunk fat-free mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
