phenotype,name,icd10_regex,control_exclude
E4_HYPERPARA,Hyperparathyroidism,E21[0-3],E4_ENDOGLAND
F5_PHOBANX,Phobic anxiety disorders,F40,F5_NEUROTIC
K11_COELIAC,Coeliac disease,K900,K11_OTHDIG
F5_ALCOHOL_DEPENDENCE,Alcohol dependence,F102,F5_SUBSTANCE
I9_ABAORTANEUR,Abdominal aortic aneurysm (AAA),I713|I714,I9_DOAAC
K11_ACUTPANC,Acute pancreatitis,K85,K11_GALLBILPANC
F5_ALZHDEMENT,Dementia in Alzheimer disease,F00,F5_ORGANIC
K11_ULCER,Ulcerative colitis,K51,K11_ENERCOLNONINF
I9_CARDMYO,Cardiomyopathy,I42,I9_OTHHEART
C3_NONHODGKIN_EXALLC,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",C8[2-5],C3_CANCER|C3_CANCER_WIDE_EXALLC
M13_POLYMYALGIA,Polymyalgia rheumatica,M353,M13_SYSTCONNECT
C3_MELANOMA_SKIN_EXALLC,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",C43,C3_CANCER|C3_CANCER_WIDE_EXALLC
N14_ENDOMETRIOSIS,Endometriosis,N80,N14_FEMALEGENNONINF
C3_BLADDER_EXALLC,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",C67,C3_CANCER|C3_CANCER_WIDE_EXALLC
M13_FIBROMYALGIA,Fibromyalgia,M797,M13_SOFTTISSUE
