Field_ID,Category,Detail_Category,Description,Variable_Type,Unit,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Decimal_Places
21022,Basic information,Age at recruitment,Age at recruitment,continuous,years,continuous_numeric,39,70,,0
31,Basic information,Gender,Gender,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
699,Basic information,Household,Length of time at current address,continuous,years,continuous_numeric,0,70,,0
709,Basic information,Household,Number in household,continuous,persons,bounded_integer_or_count,1,40,,0
796,Basic information,Employment,Distance between home and job workplace,continuous,miles,continuous_numeric,0,5000,,0
757,Basic information,Employment,Time employed in main current job,continuous,years,continuous_numeric,0,51,,0
767,Basic information,Employment,Length of working week for main job,continuous,hours,continuous_numeric,0,160,,0
777,Basic information,Employment,Frequency of travelling from home to job workplace,continuous,times/week,bounded_integer_or_count,0,44,,0
845,Basic information,Education,Age completed full time education,continuous,years,continuous_numeric,5,35,,0
4079,Physical measures,Blood pressure,"Diastolic blood pressure, automated reading",continuous,mmHg,continuous_numeric,47,133,,1
4080,Physical measures,Blood pressure,"Systolic blood pressure, automated reading",continuous,mmHg,continuous_numeric,80,225.5,,1
102,Physical measures,Blood pressure,"Pulse rate, automated reading",continuous,bpm,continuous_numeric,35,128.5,,1
46,Physical measures,Hand grip strength,Hand grip strength (left),continuous,kg,continuous_numeric,0,80,,0
47,Physical measures,Hand grip strength,Hand grip strength (right),continuous,kg,continuous_numeric,0,72,,0
48,Physical measures,Body size measures,Waist circumference,continuous,cm,continuous_numeric,56,157,,0
21002,Physical measures,Body size measures,Weight,continuous,kg,continuous_numeric,35.4,181.7,,1
21001,Physical measures,Body size measures,Body mass index (BMI),continuous,kg/m^2,continuous_numeric,14.8744,58.5937,,4
49,Physical measures,Body size measures,Hip circumference,continuous,cm,continuous_numeric,72,174,,0
50,Physical measures,Body size measures,Standing height,continuous,cm,continuous_numeric,138,201,,0
20015,Physical measures,Body size measures,Sitting height,continuous,cm,continuous_numeric,63,117,,0
23115,Physical measures,Body composition by impedance,Leg fat percentage (left),continuous,%,continuous_numeric,6.4,60.8,,1
23111,Physical measures,Body composition by impedance,Leg fat percentage (right),continuous,%,continuous_numeric,5.6,59.1,,1
23116,Physical measures,Body composition by impedance,Leg fat mass (left),continuous,kg,continuous_numeric,0.5,17.1,,1
23112,Physical measures,Body composition by impedance,Leg fat mass (right),continuous,kg,continuous_numeric,0.4,16.9,,1
23117,Physical measures,Body composition by impedance,Leg fat-free mass (left),continuous,kg,continuous_numeric,4.4,21.5,,1
23113,Physical measures,Body composition by impedance,Leg fat-free mass (right),continuous,kg,continuous_numeric,4.4,21.3,,1
23118,Physical measures,Body composition by impedance,Leg predicted mass (left),continuous,kg,continuous_numeric,4.2,20.3,,1
23114,Physical measures,Body composition by impedance,Leg predicted mass (right),continuous,kg,continuous_numeric,4.1,20.1,,1
23123,Physical measures,Body composition by impedance,Arm fat percentage (left),continuous,%,continuous_numeric,3,68.3,,1
23119,Physical measures,Body composition by impedance,Arm fat percentage (right),continuous,%,continuous_numeric,2,69.2,,1
23124,Physical measures,Body composition by impedance,Arm fat mass (left),continuous,kg,continuous_numeric,0.1,10.4,,1
23120,Physical measures,Body composition by impedance,Arm fat mass (right),continuous,kg,continuous_numeric,0.1,8.6,,1
23121,Physical measures,Body composition by impedance,Arm fat-free mass (right),continuous,kg,continuous_numeric,1,6.8,,1
23125,Physical measures,Body composition by impedance,Arm fat-free mass (left),continuous,kg,continuous_numeric,1.3,6.4,,1
23126,Physical measures,Body composition by impedance,Arm predicted mass (left),continuous,kg,continuous_numeric,1.2,6,,1
23122,Physical measures,Body composition by impedance,Arm predicted mass (right),continuous,kg,continuous_numeric,0.9,6.4,,1
23127,Physical measures,Body composition by impedance,Trunk fat percentage,continuous,%,continuous_numeric,3,61.7,,1
23128,Physical measures,Body composition by impedance,Trunk fat mass,continuous,kg,continuous_numeric,1,49.5,,1
23129,Physical measures,Body composition by impedance,Trunk fat-free mass,continuous,kg,continuous_numeric,16,52.3,,1
23130,Physical measures,Body composition by impedance,Trunk predicted mass,continuous,kg,continuous_numeric,15.4,50.3,,1
23105,Physical measures,Body composition by impedance,Basal metabolic rate,continuous,kJ/day,continuous_numeric,3665,13602,,0
23099,Physical measures,Body composition by impedance,Body fat percentage,continuous,%,continuous_numeric,5.4,59,,1
23100,Physical measures,Body composition by impedance,Whole body fat mass,continuous,kg,continuous_numeric,5.1,87.9,,1
23101,Physical measures,Body composition by impedance,Whole body fat-free mass,continuous,kg,continuous_numeric,28.6,97.5,,1
23102,Physical measures,Body composition by impedance,Whole body water mass,continuous,kg,continuous_numeric,20.9,73.6,,1
23106,Physical measures,Body composition by impedance,Impedance of whole body,continuous,ohm,continuous_numeric,314,973,,0
23110,Physical measures,Body composition by impedance,Impedance of arm (left),continuous,ohm,continuous_numeric,174,703,,0
23109,Physical measures,Body composition by impedance,Impedance of arm (right),continuous,ohm,continuous_numeric,116,992,,0
23108,Physical measures,Body composition by impedance,Impedance of leg (left),continuous,ohm,continuous_numeric,102,469,,0
23107,Physical measures,Body composition by impedance,Impedance of leg (right),continuous,ohm,continuous_numeric,108,446,,0
3062,Physical measures,Spirometry,Forced vital capacity (FVC),continuous,L,continuous_numeric,0.133333333,17.00666667,,6
3063,Physical measures,Spirometry,Forced expiratory volume in 1-second (FEV1),continuous,L,continuous_numeric,0.123333333,6.17,,6
20258,Physical measures,Spirometry,FEV1/ FVC ratio Z-score,continuous z-score,z-score,continuous_z_score,-3.687,4.931,,3
3064,Physical measures,Spirometry,Peak expiratory flow (PEF),continuous,L/min,continuous_numeric,9.333333333,1340.5,,6
20022,Physical measures,Early life factors,Birth weight,continuous,kg,continuous_numeric,0.45,6.97,,2
2634,Lifestyle,Physical activity,Duration of heavy DIY,categorical,category code,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0
2624,Lifestyle,Physical activity,Frequency of heavy DIY in last 4 weeks,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
