feature_index,Aptamer,Feature,Target,EntrezGeneSymbol,UniPort,disease,background_family,evidence_status,literature_direction,model_effect_sd,public_reference_ids,literature_estimates_json,modeling_note
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,CU,nuclear_signaling,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,AD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,PD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,FTD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,ALS,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
0,seq.10023.32,seq_10023_32,VDR,VDR,P11473,StrokeTIA,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,CU,immune_complement,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,AD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,PD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,FTD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,ALS,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
1,seq.10039.32,seq_10039_32,PNP,PNP,P00491,StrokeTIA,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,CU,nuclear_signaling,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,AD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,PD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,FTD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,ALS,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
2,seq.10041.3,seq_10041_3,HNF4A,HNF4A,P41235,StrokeTIA,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,CU,other,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,AD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,PD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,FTD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,ALS,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
3,seq.10044.12,seq_10044_12,WN10A,WNT10A,Q9GZT5,StrokeTIA,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,CU,immune_complement,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,AD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,PD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,FTD,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,ALS,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
4,seq.10047.12,seq_10047_12,NCF-2,NCF2,P19878,StrokeTIA,immune_complement,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,CU,other,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,AD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,PD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,FTD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,ALS,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
5,seq.10075.75,seq_10075_75,ACBD6,ACBD6,Q9BR61,StrokeTIA,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,CU,neural_synaptic,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
