feature_index,Aptamer,Feature,Target,TargetFullName,UniPort,EntrezGeneID,EntrezGeneSymbol
0,seq.10023.32,seq_10023_32,VDR,Vitamin D3 receptor,P11473,7421,VDR
1,seq.10039.32,seq_10039_32,PNP,Purine nucleoside phosphorylase,P00491,4860,PNP
2,seq.10041.3,seq_10041_3,HNF4A,Hepatocyte nuclear factor 4-alpha,P41235,3172,HNF4A
3,seq.10044.12,seq_10044_12,WN10A,Protein Wnt-10a,Q9GZT5,80326,WNT10A
4,seq.10047.12,seq_10047_12,NCF-2,Neutrophil cytosol factor 2,P19878,4688,NCF2
5,seq.10075.75,seq_10075_75,ACBD6,Acyl-CoA-binding domain-containing protein 6,Q9BR61,84320,ACBD6
6,seq.10082.251,seq_10082_251,NFL,Neurofilament light polypeptide,P07196,4747,NEFL
7,seq.10088.37,seq_10088_37,APT,Adenine phosphoribosyltransferase,P07741,353,APRT
8,seq.10362.35,seq_10362_35,c-Myc,Myc proto-oncogene protein,P01106,4609,MYC
9,seq.10419.1,seq_10419_1,SCAR5,Scavenger receptor class A member 5,Q6ZMJ2,286133,SCARA5
10,seq.10425.3,seq_10425_3,B4GT5,"Beta-1,4-galactosyltransferase 5",O43286,9334,B4GALT5
11,seq.10426.21,seq_10426_21,GOSR2,Golgi SNAP receptor complex member 2,O14653,9570,GOSR2
12,seq.10485.56,seq_10485_56,MAGE-4,Melanoma-associated antigen 4,P43358,4103,MAGEA4
13,seq.10510.62,seq_10510_62,SCIMP,SLP adapter and CSK-interacting membrane protein,Q6UWF3,388325,SCIMP
14,seq.10513.13,seq_10513_13,CSEN,Calsenilin,Q9Y2W7,30818,KCNIP3
15,seq.10521.10,seq_10521_10,MXRA8:ECD,Matrix-remodeling-associated protein 8:Extracellular domain,Q9BRK3,54587,MXRA8
16,seq.10534.40,seq_10534_40,PARP:BRCT domain,Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian,P09874,142,PARP1
17,seq.10554.23,seq_10554_23,BGAL,Beta-galactosidase,P16278,2720,GLB1
18,seq.10562.42,seq_10562_42,NETO2,Neuropilin and tolloid-like protein 2,Q8NC67,81831,NETO2
19,seq.10574.10,seq_10574_10,b2-Microglobulin,Beta-2-microglobulin,P61769,567,B2M
20,seq.10588.39,seq_10588_39,SIAT9,"Lactosylceramide alpha-2,3-sialyltransferase",Q9UNP4,8869,ST3GAL5
21,seq.10620.21,seq_10620_21,PSP-94,Beta-microseminoprotein,P08118,4477,MSMB
